Charm,Src Channel,S,Dst Channel,Src Rev,S,Dst Rev
admission-webhook,1.6/stable,->,1.7/stable,60,->,134
argo-controller,3.3/stable,,3.3/stable,99,->,236
argo-server,3.3/stable,,3.3/stable,45,->,185
dex-auth,2.31/stable,,2.31/stable,129,->,224
istio-ingressgateway,1.11/stable,->,1.16/stable,285,->,411
istio-pilot,1.11/stable,->,1.16/stable,302,->,413
jupyter-controller,1.6/stable,->,1.7/stable,163,->,607
jupyter-ui,1.6/stable,->,1.7/stable,124,->,534
katib-controller,0.14/stable,->,0.15/stable,92,->,206
katib-db,latest/stable,,latest/stable,35,,35
katib-db-manager,0.14/stable,->,0.15/stable,66,->,180
katib-ui,0.14/stable,->,0.15/stable,151,->,194
kfp-api,2.0/stable,,2.0/stable,144,->,298
kfp-db,latest/stable,,latest/stable,35,,35
kfp-persistence,2.0/stable,,2.0/stable,141,->,294
kfp-profile-controller,2.0/stable,,2.0/stable,125,->,274
kfp-schedwf,2.0/stable,,2.0/stable,155,->,312
kfp-ui,2.0/stable,,2.0/stable,144,->,297
kfp-viewer,2.0/stable,,2.0/stable,152,->,310
kfp-viz,2.0/stable,,2.0/stable,134,->,281
knative-eventing,,+,1.8/stable,,+,165
knative-operator,,+,1.8/stable,,+,142
knative-serving,,+,1.8/stable,,+,164
kserve-controller,,+,0.10/stable,,+,86
kubeflow-dashboard,1.6/stable,->,1.7/stable,183,->,307
kubeflow-profiles,1.6/stable,->,1.7/stable,94,->,269
kubeflow-roles,1.6/stable,->,1.7/stable,49,->,113
kubeflow-volumes,1.6/stable,->,1.7/stable,84,->,178
metacontroller-operator,2.0/stable,,2.0/stable,48,->,117
minio,ckf-1.6/stable,->,ckf-1.7/stable,99,->,186
oidc-gatekeeper,ckf-1.6/stable,->,ckf-1.7/stable,76,->,176
seldon-controller-manager,1.14/stable,->,1.15/stable,92,->,298
tensorboard-controller,1.6/stable,->,1.7/stable,69,->,156
tensorboards-web-app,1.6/stable,->,1.7/stable,71,->,158
training-operator,1.5/stable,->,1.6/stable,65,->,190
